,PGM_SYS_ACRNMS,PERMIT_TYPE,PERMID_ID,PRIMARY_NAME,LATITUDE83,LONGITUDE83,HUC_CODE,FRS_FACILITY_DETAIL_REPORT_URL
40,ACRES:11378,ACRES,11378,"ADAIR VILLAGE, CITY OF",44.67216,-123.21861,17090003,https://ofmpub.epa.gov/frs_public2/fii_query_detail.disp_program_facility?p_registry_id=110038747210
1353,ACRES:238208,ACRES,238208,SHAFFER PROPERTY,42.194917,-122.687436,17100308,https://ofmpub.epa.gov/frs_public2/fii_query_detail.disp_program_facility?p_registry_id=110070525617
1441,ACRES:14325,ACRES,14325,ASTORIA,46.189768,-123.83391,17080006,https://ofmpub.epa.gov/frs_public2/fii_query_detail.disp_program_facility?p_registry_id=110039533840
1775,ACRES:15794,ACRES,15794,YOUNGS BAY LANDING,46.173064,-123.842769,17080006,https://ofmpub.epa.gov/frs_public2/fii_query_detail.disp_program_facility?p_registry_id=110038702614
2138,ACRES:14333,ACRES,14333,ELKHORN INDUSTRIAL PARK,44.79613,-117.8575,17050203,https://ofmpub.epa.gov/frs_public2/fii_query_detail.disp_program_facility?p_registry_id=110038749012
2148,ACRES:15726,ACRES,15726,FORMER BAKER GASIFICATION PLANT,44.774132,-117.846187,17050203,https://ofmpub.epa.gov/frs_public2/fii_query_detail.disp_program_facility?p_registry_id=110038748219
2163,ACRES:235762,ACRES,235762,IOOF LODGE #25,44.77495,-117.82982,17050203,https://ofmpub.epa.gov/frs_public2/fii_query_detail.disp_program_facility?p_registry_id=110070205565
2196,ACRES:220241,ACRES,220241,PIONEER WEST BANK (FORMER),44.77782,-117.83097,17050203,https://ofmpub.epa.gov/frs_public2/fii_query_detail.disp_program_facility?p_registry_id=110070164177
2251,ACRES:14321,ACRES,14321,BANDON CITY PROPERTY,43.11596,-124.41483,17100306,https://ofmpub.epa.gov/frs_public2/fii_query_detail.disp_program_facility?p_registry_id=110039533760
2302,ACRES:12449,ACRES,12449,MOORE MILL TRUCK SHOP PROPERTY,43.11909,-124.40987,17100305,https://ofmpub.epa.gov/frs_public2/fii_query_detail.disp_program_facility?p_registry_id=110038702080
2314,ACRES:12450,ACRES,12450,PROSPER YARD,43.122085,-124.402064,17100305,https://ofmpub.epa.gov/frs_public2/fii_query_detail.disp_program_facility?p_registry_id=110038702099
2428,ACRES:214441,ACRES,214441,BORROW PIT/TRASH DUMP,45.506266,-123.87861,17100203,https://ofmpub.epa.gov/frs_public2/fii_query_detail.disp_program_facility?p_registry_id=110069497645
2429,ACRES:225922,ACRES,225922,CORRIDOR MP 850-847,45.539219,-123.89991,17100203,https://ofmpub.epa.gov/frs_public2/fii_query_detail.disp_program_facility?p_registry_id=110070525593
2442,ACRES:213581,ACRES,213581,WHITNEY LOGGING HEADQUARTERS,45.507903,-123.875818,17100203,https://ofmpub.epa.gov/frs_public2/fii_query_detail.disp_program_facility?p_registry_id=110070258823
2619,ACRES:238220,ACRES,238220,BEAVERDAM RESIDENCE,45.48885,-122.80968,17090010,https://ofmpub.epa.gov/frs_public2/fii_query_detail.disp_program_facility?p_registry_id=110070507929
3171,ACRES:216701,ACRES,216701,LANPHERE - DEALERSHIP,45.48743,-122.80523,17090010,https://ofmpub.epa.gov/frs_public2/fii_query_detail.disp_program_facility?p_registry_id=110070384547
3172,ACRES:216681,ACRES,216681,LANPHERE ENTERPRISES - LCD FORMER AAMCO,45.48726,-122.8157,17090010,https://ofmpub.epa.gov/frs_public2/fii_query_detail.disp_program_facility?p_registry_id=110070384546
3199,ACRES:214843,ACRES,214843,LOT 2 OF THE ROUND AT BEAVERTON CENTRAL,45.490846,-122.80814,17090010,https://ofmpub.epa.gov/frs_public2/fii_query_detail.disp_program_facility?p_registry_id=110070354554
3205,ACRES:238217,ACRES,238217,LUDEMAN'S,45.48855,-122.80701,17090010,https://ofmpub.epa.gov/frs_public2/fii_query_detail.disp_program_facility?p_registry_id=110070507928
3662,ACRES:238223,ACRES,238223,TOM'S PANCAKE HOUSE,45.48826,-122.81017,17090010,https://ofmpub.epa.gov/frs_public2/fii_query_detail.disp_program_facility?p_registry_id=110070507930
4153,ACRES:238178,ACRES,238178,DESCHUTES COUNTY DEMOLITION LANDFILL,44.04711,-121.34695,17070301,https://ofmpub.epa.gov/frs_public2/fii_query_detail.disp_program_facility?p_registry_id=110070384686
4167,ACRES:110203,ACRES,110203,DSL STEVENS RD,44.03482,-121.26367,17070301,https://ofmpub.epa.gov/frs_public2/fii_query_detail.disp_program_facility?p_registry_id=110041721170
4297,ACRES:178131,ACRES,178131,MILL QUARTER PROPERTY,44.05047,-121.31782,17070301,https://ofmpub.epa.gov/frs_public2/fii_query_detail.disp_program_facility?p_registry_id=110063597077
4304,ACRES:196421,ACRES,196421,MIRROR POND AREA,44.058888,-121.321023,17070301,https://ofmpub.epa.gov/frs_public2/fii_query_detail.disp_program_facility?p_registry_id=110070034224
4604,ACRES:236733,ACRES,236733,OLD BIGGS STATION & MOTEL PROPERTY,45.668152,-120.838551,17070105,https://ofmpub.epa.gov/frs_public2/fii_query_detail.disp_program_facility?p_registry_id=110070247676
4654,ACRES:15721,ACRES,15721,SHADY BEND STORE,44.675458,-123.558308,17090003,https://ofmpub.epa.gov/frs_public2/fii_query_detail.disp_program_facility?p_registry_id=110038748175
5311,ACRES:11375,ACRES,11375,BURNS PAIUTE,43.58604,-119.05444,17120002,https://ofmpub.epa.gov/frs_public2/fii_query_detail.disp_program_facility?p_registry_id=110038747194
5359,ACRES:241589,ACRES,241589,THE POWERHOUSE,43.586026,-119.05142,17120002,https://ofmpub.epa.gov/frs_public2/fii_query_detail.disp_program_facility?p_registry_id=110070790094
5842,ACRES:15712,ACRES,15712,CASCADE LOCKS INDUSTRIAL PARK,45.683492,-121.844379,17070105,https://ofmpub.epa.gov/frs_public2/fii_query_detail.disp_program_facility?p_registry_id=110038748095
6018,ACRES:239751,ACRES,239751,BUTLER PROPERTY,42.372679,-122.919416,17100308,https://ofmpub.epa.gov/frs_public2/fii_query_detail.disp_program_facility?p_registry_id=110070605170
6042,ACRES:239750,ACRES,239750,CUMORAH HOLDINGS PROPERTY,42.37342,-122.91877,17100308,https://ofmpub.epa.gov/frs_public2/fii_query_detail.disp_program_facility?p_registry_id=110070556317
6103,ACRES:239749,ACRES,239749,LAMPSON PROPERTY,42.37505,-122.91909,17100308,https://ofmpub.epa.gov/frs_public2/fii_query_detail.disp_program_facility?p_registry_id=110070556315
6148,ACRES:239762,ACRES,239762,PFAFF PROPERTY,42.3741,-122.91746,17100308,https://ofmpub.epa.gov/frs_public2/fii_query_detail.disp_program_facility?p_registry_id=110070556322
6163,ACRES:239752,ACRES,239752,ROGUE VALLEY BIN PROPERTY,42.376421,-122.923498,17100308,https://ofmpub.epa.gov/frs_public2/fii_query_detail.disp_program_facility?p_registry_id=110070556318
6293,ACRES:15759,ACRES,15759,CHILOQUIN LUMBER MILL,42.05477,-121.4503,18010204,https://ofmpub.epa.gov/frs_public2/fii_query_detail.disp_program_facility?p_registry_id=110038748549
6313,ACRES:232801,ACRES,232801,FORMER CHILOQUIN TEXACO,42.57663,-121.86288,18010201,https://ofmpub.epa.gov/frs_public2/fii_query_detail.disp_program_facility?p_registry_id=110070261938
