,PGM_SYS_ACRNMS,PERMIT_TYPE,PERMID_ID,PRIMARY_NAME,LATITUDE83,LONGITUDE83,HUC_CODE,FRS_FACILITY_DETAIL_REPORT_URL
32,NPDES:ORU000241,NPDES,ORU000241,"AGRICULTURE, FOREST SERVICE",NA,NA,NA,https://ofmpub.epa.gov/frs_public2/fii_query_detail.disp_program_facility?p_registry_id=110011004590
33,NPDES:ORU000187,NPDES,ORU000187,"DEFENSE, ARMY COE",NA,NA,NA,https://ofmpub.epa.gov/frs_public2/fii_query_detail.disp_program_facility?p_registry_id=110011005036
36,NPDES:ORR10F678,NPDES,ORR10F678,ROGUE REGENCY SOUTH LOT,42.3525,-122.8745,17100308,https://ofmpub.epa.gov/frs_public2/fii_query_detail.disp_program_facility?p_registry_id=110070628017
41,NPDES:ORR10F715,NPDES,ORR10F715,CALLOWAY CREEK PHASE 2 SUBDIVISION,44.6639,-123.2153,17090003,https://ofmpub.epa.gov/frs_public2/fii_query_detail.disp_program_facility?p_registry_id=110070628318
42,NPDES:ORR10F128,NPDES,ORR10F128,CALLOWAY CREEK SUBDIVISION,44.6644,-123.2124,17090003,https://ofmpub.epa.gov/frs_public2/fii_query_detail.disp_program_facility?p_registry_id=110070229089
44,NPDES:ORR10E602,NPDES,ORR10E602,SERVPRO,44.67193,-123.2221,17090003,https://ofmpub.epa.gov/frs_public2/fii_query_detail.disp_program_facility?p_registry_id=110069561218
46,NPDES:ORR10F256,NPDES,ORR10F256,WILLIAM R. CARR SUBDIVISION,44.6733,-123.2215,17090003,https://ofmpub.epa.gov/frs_public2/fii_query_detail.disp_program_facility?p_registry_id=110070229495
64,NPDES:ORU000438,NPDES,ORU000438,"WEATHERS, JERRY & SHARON - DBA WEATHERS LAND AND CATTLE",45.69164,-118.4132,17070103,https://ofmpub.epa.gov/frs_public2/fii_query_detail.disp_program_facility?p_registry_id=110006696502
82,NPDES:ORU000390,NPDES,ORU000390,ALMEIDA DAIRY,NA,NA,NA,https://ofmpub.epa.gov/frs_public2/fii_query_detail.disp_program_facility?p_registry_id=110011003412
97,NPDES:ORR10B693,NPDES,ORR10B693,13TH AVENUE PROPERTY,44.62618,-123.12515,17090003,https://ofmpub.epa.gov/frs_public2/fii_query_detail.disp_program_facility?p_registry_id=110069591034
