HUC8,septic/rv,Legal_Name,Common_Name,City,done,treatmentClass,collectionClass,basin,subbasin,stream,permYr,EPAref,type1,type2,recycledReuse,emergencyOverflow,recycledBiosolids,yearRoundDischarge,BOD5_monthly_lbs_day,BOD5_max_lbs_day,TSS_monthly_average_lbs_day,TSS_max_lbs_day,dryDesignFlowMGD,massLoadFlowMGD,constructionYear,phone,firstname,lastname,note1,note2
,?,ALPINE COUNTY SERVICE DISTRICT,ALPINE COMMUNITY,Corvallis,y,1,1,Willamette,Upper Willamette,Muddy Creek,2006,OR0032387,lagoons,na,0,0,0,no,18,36,29,58,0.02,0.07,1955,(541) 766-6821,Jon,Thompkins,unincorp. Community & census designated place,
,no,"AMITY, CITY OF",AMITY STP,Amity,y,2,2,Willamette,Yamhill,Salt Creek,2010,OR0026212,lagoons,aeration,1,3,0,no,39,78,64,130,0.154,0.154,,(503) 835-4181,Matt,Johnson,,
,no,"AUMSVILLE, CITY OF",AUMSVILLE STP,Aumsville,y,1,2,Willamette,Middle Willamette,Beaver Creek,2000,OR0022721,lagoons,na,1,0,0,no,170,340,280,560,0.335,0.67,2005,(503) 749-2030,Steven C,Oslie,,
,no,"AURORA, CITY OF",AURORA STP,Aurora,y,2,1,Willamette,Molalla/Pudding,Pudding River,2016,OR0043991,lagoons,aeration,1,0,1,no,30,140,47,220,0.087,0.087,,5412318674,Mark,Gunter,mass load calculated on 2 year recurrence flows & treatment capacity,
,no,"BAY CITY, CITY OF",BAY CITY STP,Bay City ,y,2,2,Northern Oregon Coastal,Wilson/Trask/Nestucca,Tillamook Bay,2006,OR0022578,activated sludge,sequencing batch reactor,0,0,0,yes,44,88,53,110,0.21,0.31,1995,(503) 377-4121,Chance,Steffey,,
,no,"BROWNSVILLE, CITY OF",BROWNSVILLE STP,Brownsville,y,1,2,Willamette,Upper Willamette,Calapooia River,2007,OR0020079,lagoons,na,1,0,0,no,74,150,120,240,0.147,0.294,1964,(541) 466-5666,Karl,Frink,,
,no,"CARLTON, CITY OF",CARLTON STP,Carlton,y,2,2,Willamette,Yamhill,North Yamhill River,2005,OR0020541,lagoons,na,1,0,0,no,92,184,153,306,0.165,0.367,1989,503-434-2175,Bryan,Burnham,,
,no,"CRESWELL, CITY OF",CRESWELL STP,Creswell,y,2,2,Willamette,Coast Fork Willamette,Unnamed Tributary to Camas Swale Creek,2015,OR0027545,lagoons,na,1,0,0,no,100,200,170,330,0.2,0.4,1963_1962,(541) 895-2308,Michelle,Amberg,,
,no,"DAYTON, CITY OF",DAYTON STP,Dayton,y,1,2,Willamette,Yamhill,Yamhill River,2005,OR0023639,lagoons,na,0,1,0,no,120,240,190,380,0.23,0.46,1965,(503) 437-0639,Steve,Sagmiller,,
,no,"DAYVILLE, CITY OF",CITY OF DAYVILLE,Dayville,y,1,1,John Day,Upper John Day,John Day River,2007,OR0041505,lagoons,na,1,2,0,no,9,18,26,52,0.037,0.037,,541-987-2849,Linda,Sagaser,,
,no,"DUFUR, CITY OF",DUFUR STP,Dufur,y,1,1,Hood,Miles Creeks,Fifteen Mile Creek,2002,OR0029050,lagoons,na,1,1,0,no,23,45,43,85,0.06,0.06,,541-467-2401,Brandon,Beachcamp,,
,no,"DUNDEE, CITY OF",DUNDEE STP,Dundee,y,1,2,Willamette,Yamhill/Newberg Pool,Willamette River,1999,OR0023388,lagoons,na,1,0,0,no,130,260,220,440,0.273,0.526,1969_2012,(541) 538-6700 x2,Todd,Miller,,
,yes,"EATINGER, AL",COUNTRY VIEW MOBILE HOME ESTATES,Ashland,remove?,1,1,Rogue,Upper Rogue,Cusick Creek,2009,OR0029661,lagoons,na,0,0,0,no,2.3,4.6,2.3,4.6,0.009,0.009,,541-973-9200,Alvin R,Eatinger,,
,no,"ECHO, CITY OF",ECHO STP,Echo,y,1,1,Umatilla,Umatilla,Umatilla River,2006,OR0031470,lagoons,na,1,0,0,no,30,60,na,80,0.12,0.12,1975,(541) 376-8411,Daren,Tuil,,
,no,"ELGIN, CITY OF",ELGIN STP,Elgin,y,1,2,Grande Ronde,Upper Grande Ronde,Grande Ronde River,2004,OR0022438,lagoons,na,1,1,0,no,135,270,255,510,0.36,0.36,,541-805-9115,R.L.,Christian,,
,no,"GERVAIS, CITY OF",GERVAIS STP,Gervais,y,2,2,Willamette,Molalla/Pudding,Pudding River,2005,OR0027391,lagoons,aeration,1,0,0,no,110,210,160,320,0.22,0.63,,(503) 792-4901,Susie E,Marston,,
