"","Year","Entity","Population.x","Total Cost","Construction Cost","Discharge","Treatment","Collection","Notes:","Latitude.x","Longitude.x","basic_treatment","Common_Name","Location","Fac_City","Fac_Zip_Code","County","Region.x","Latitude.y","Longitude.y","SIC_Code","Facility_Type","Permit_Type","Permit_Description","EPA_Class","Category","Contact_Desc","Organization","Contact_FName","Contact_LName","Contact_Address","City","State","Zip","Phone_Nbr","total_sewer_lines_mi","year_of_construction","year_of_renovation","total_ww_treated","level_of_treatment","Region.y","level_of_treatment_other","pop_2018","pop_2010","pop_2000","pop_1990","pop_1980","acres","HUC8","septic/rv","treatmentClass","collectionClass","basin","subbasin","stream","permYr","EPAref","type1","type2","recycledReuse","emergencyOverflow","recycledBiosolids","yearRoundDischarge","BOD5 monthly average lbs/day","BOD5 max lbs/day","TSS monthly average lbs/day","TSS max lbs/day","dryDesignFlowMGD","massLoadFlowMGD","note1","sq_mi","pop_density_2018"
"1","2020","ECHO, CITY OF",699,2757875,1942500,"Controlled","Anaerobic Lagoons, Chlorination, Dechlorization","Conventional Gravity, Effluent Pumps",NA,45.74,-119.19,"Lagoons","ECHO STP","33245 BOWMAN RD.","ECHO","97826","UMATILLA","ER",45.74,-119.19,4952,"SEWERAGE SYSTEMS","NPDES-DOM-Db","Sewage - less than 1 MGD with discharging lagoons","MINOR","DOM","Facility Contact","City Of Echo","Daren","Tuil","PO Box 9","Echo","OR","97826-0009","(541) 376-8411","7","1975","1985","18","Primary",NA,NA,710,699,650,500,624,368.185437862,NA,"no",1,"1","Umatilla","Umatilla","Umatilla River",2006,"OR0031470","lagoons","na",1,0,0,"no",30,60,"na","80",0.12,0.12,NA,0.575289746659375,1234.16070618826
"2","2015 - 2019","CANYONVILLE, CITY OF",1884,13032416,10361000,"Stream","Activated Sludge, Phosphorus Removal, Ultraviolet","Conventional Gravity, Effluent Pumps","Cost overruns resulted in second funding (figures are total)",42.9422,-123.2797,"Activated Sludge","CANYONVILLE STP","450 CANYONVILLE NORTH ROAD","CANYONVILLE","97417","DOUGLAS","WR",42.9422,-123.2797,4952,"SEWERAGE SYSTEMS","NPDES-DOM-Da","Sewage - less than 1 MGD","MINOR","DOM","Facility Contact","City of Canyonville","Rob","Siegrist","PO Box 765","Canyonville","OR","97417-0765","(541) 839-4258",NA,NA,NA,NA,NA,7,NA,1920,1884,1293,1219,1288,665.779752473,NA,"no",3,"2","Umpqua","South Umpqua","South Umpqua River",2012,"OR0020729","activated sludge","na",0,0,0,"yes",100,210,"130","250",0.5,0.5,NA,1.04028086323906,1845.65540696558
"3","2019","CASCADE LOCKS, CITY OF",1144,5556600,3857850,"Stream","Activated Sludge","Conventional Gravity",NA,45.6822,-121.8646,"Activated Sludge","CASCADE LOCKS STP","105 HERMAN CREEK LANE","CASCADE LOCKS","97014","HOOD RIVER","ER",45.6822,-121.8646,4952,"SEWERAGE SYSTEMS","NPDES-DOM-Da","Sewage - less than 1 MGD","MINOR","DOM","Facility Contact","City of Cascade Locks","Louie","Hooks","818 Riverside Dr","Hood River","OR","97031-1179","541-386-2432","55","1974","2000","15 mgd","Primary, Secondary",8,NA,7990,7167,5831,4632,4329,2171.87966019,NA,"no",2,"2","Hood","Middle Columbia/Hood","Columbia River",2013,"OR0041271","activated sludge","sequencing batch reactor",0,1,0,"yes",58,117,"83","166",0.493,0.584,NA,3.39356196904687,2354.45825739381
"4","2016 - 2018","DAYTON, CITY OF",2534,3210100,2535445,"Stream","Aerated Lagoons","Effluent Pumps","Cost overruns resulted in second funding (figures are total)",45.1899,-123.07,"Lagoons","DAYTON STP","416 FERRY STREET","DAYTON","97114","YAMHILL","WR",45.1899,-123.07,4952,"SEWERAGE SYSTEMS","NPDES-DOM-Db","Sewage - less than 1 MGD with discharging lagoons","MINOR","DOM","Facility Contact","City of Dayton","Steve","Sagmiller","PO Box 339","Dayton","OR","97114-0339","(503) 437-0639",NA,"1965","1965",NA,"Primary, Secondary",NA,NA,2720,2534,2119,1526,1409,532.007554867,NA,"no",1,"2","Willamette","Yamhill","Yamhill River",2005,"OR0023639","lagoons","na",0,1,0,"no",120,240,"190","380",0.23,0.46,NA,0.831261804479687,3272.1339839529
"5","2016 - 2018","PARKDALE SANITARY DISTRICT",311,3093545,1920000,"Controlled, Stream","Chlorination, Sedimentation, Activated Sludge","Conventional Gravity","Cost overruns resulted in second funding (figures are total)",45.5239,-121.5989,"Activated Sludge","PARKDALE STP","7200 DEE HIGHWAY","PARKDALE","97041","HOOD RIVER","ER",45.5239,-121.5989,4952,"SEWERAGE SYSTEMS","NPDES-DOM-Da","Sewage - less than 1 MGD","MINOR","DOM","Facility Contact","Parkdale Sanitary District","Patricio","Ramos","PO Box 194","Mount Hood Parkdale","OR","97041-0194","541-399-3721",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"?",2,"1","Middle Columbia","Hood River","Trout Creek",2018,"OR0026018","activated sludge","na",0,0,0,"yes",13,26,"13","26",0.08,0.08,NA,NA,NA
"6","2017 - 2018","PILOT ROCK, CITY OF",1502,6020000,4621000,NA,"Anaerobic Lagoons, Aerated Lagoons","Conventional Gravity","Cost overruns resulted in second funding (figures are total)",45.4832,-118.83,"Lagoons",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2017","LA PINE, CITY OF",1653,14028000,10636000,"Spray Irrigation","Anaerobic Lagoons, Aerated Lagoons, Chlorination","Conventional Gravity, Effluent Pumps",NA,43.6704,-121.5036,"Lagoons",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2016","PRAIRIE CITY, CITY OF",909,1905700,613585,"Spray Irrigation","Stabilization Ponds","Effluent Pumps",NA,44.4632,-118.7099,"Lagoons",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2016","CHARLESTON SANITARY DISTRICT",4181,8552101,7730392,"Stream","Activated Sludge, Chlorination, Dechlorization, Sedimentation, Anaerobic Lagoons, Aerated Lagoons","Conventional Gravity, Effluent Pumps","Project represents 25% cost-sharing with City of Coos Bay who was the responsible party for the construction.",43.3401,-124.3301,"Activated Sludge",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2016","DUFUR, CITY OF",604,4811000,2894755,"Stream","Stabilization Ponds","Effluent Pumps",NA,45.4291,-121.1468,"Lagoons","DUFUR STP","FIFTEEN MILE CR, SOUTH OF CITY","DUFUR","97021","WASCO","ER",45.4291,-121.1468,4952,"SEWERAGE SYSTEMS","NPDES-DOM-Db","Sewage - less than 1 MGD with discharging lagoons","MINOR","DOM","Facility Contact","City Of Dufur","Brandon","Beachcamp","PO Box 145","Dufur","OR","97021-0145","541-467-2401",NA,NA,NA,NA,NA,NA,NA,615,604,588,527,560,373.686697557,NA,"no",1,"1","Hood","Miles Creeks","Fifteen Mile Creek",2002,"OR0029050","lagoons","na",1,1,0,"no",23,45,"43","85",0.06,0.06,NA,0.583885464932812,1053.28876455379
