"","Year","Entity","Population","Total Cost","Construction Cost","Discharge","Treatment","Collection","Notes:","Permit Type","Latitude","Longitude","basic_treatment","Region","type1","type2","recycledReuse","emergencyOverflow","recycledBiosolids","yearRoundDischarge","BOD5 monthly average lbs/day","BOD5 max lbs/day","TSS monthly average lbs/day","TSS max lbs/day","dryDesignFlowMGD","massLoadFlowMGD","note1","sq_mi","pop_density_2018","pop_density_new","coastal","has_pumps","pop_density","year_begin","year_inflated_2019"
"1","2020","ECHO, CITY OF",699,2757875,1942500,"Controlled","Anaerobic Lagoons, Chlorination, Dechlorization","Conventional Gravity, Effluent Pumps",NA,"NPDES",45.74,-119.19,"Lagoons","ER","lagoons",NA,1,0,0,"no",30,60,"na",80,0.12,0.12,NA,0.575289747,1234.160706,1215.03990579551,0,TRUE,1215.03990579551,2020,2708786.10528282
"2","2015 - 2019","CANYONVILLE, CITY OF",1884,13032416,10361000,"Stream","Activated Sludge, Phosphorus Removal, Ultraviolet","Conventional Gravity, Effluent Pumps","Cost overruns resulted in second funding (figures are total)","NPDES",42.9422,-123.2797,"Activated Sludge","WR","activated sludge",NA,0,0,0,"yes",100,210,"130",250,0.5,0.5,NA,1.040280863,1845.655407,1811.04936850117,0,TRUE,1811.04936850117,2015,14057362.161724
"3","2019","CASCADE LOCKS, CITY OF",1144,5556600,3857850,"Stream","Activated Sludge","Conventional Gravity",NA,"NPDES",45.6822,-121.8646,"Activated Sludge","ER","activated sludge","sequencing batch reactor",0,1,0,"yes",58,117,"83",166,0.493,0.584,NA,3.393561969,2354.458257,337.108916958163,0,FALSE,337.108916958163,2019,5556600
"4","2016 - 2018","DAYTON, CITY OF",2534,3210100,2535445,"Stream","Aerated Lagoons","Effluent Pumps","Cost overruns resulted in second funding (figures are total)","NPDES",45.1899,-123.07,"Lagoons","WR","lagoons",NA,0,1,0,"no",120,240,"190",380,0.23,0.46,NA,0.831261804,3272.133984,3048.37776475051,0,TRUE,3048.37776475051,2016,3419422.36408913
"5","2016 - 2018","PARKDALE SANITARY DISTRICT",311,3093545,1920000,"Controlled, Stream","Chlorination, Sedimentation, Activated Sludge","Conventional Gravity","Cost overruns resulted in second funding (figures are total)","NPDES",45.5239,-121.5989,"Activated Sludge","ER","activated sludge",NA,0,0,0,"yes",13,26,"13",26,0.08,0.08,NA,0.618,NA,503.236245954693,0,FALSE,503.236245954693,2016,3295267.11233797
"6","2017 - 2018","PILOT ROCK, CITY OF",1502,6020000,4621000,NA,"Anaerobic Lagoons, Aerated Lagoons","Conventional Gravity","Cost overruns resulted in second funding (figures are total)","WPCF",45.4832,-118.83,"Lagoons","ER","lagoons",NA,NA,NA,NA,"ndc",NA,NA,NA,NA,NA,NA,NA,1.483,NA,1012.81186783547,0,FALSE,1012.81186783547,2017,6278803.29839007
"7","2017","LA PINE, CITY OF",1653,14028000,10636000,"Spray Irrigation","Anaerobic Lagoons, Aerated Lagoons, Chlorination","Conventional Gravity, Effluent Pumps",NA,"WPCF",43.6704,-121.5036,"Lagoons","ER","lagoons","aeration",NA,NA,NA,"ndc",NA,NA,NA,NA,0.25,NA,NA,6.98,NA,236.819484240688,0,TRUE,236.819484240688,2017,14631071.8720624
"8","2016","PRAIRIE CITY, CITY OF",909,1905700,613585,"Spray Irrigation","Stabilization Ponds","Effluent Pumps",NA,"WPCF",44.4632,-118.7099,"Lagoons","ER","lagoons",NA,NA,NA,NA,"ndc",NA,NA,NA,NA,NA,NA,NA,0.992,NA,916.33064516129,0,TRUE,916.33064516129,2016,2029965.79522278
"9","2016","CHARLESTON SANITARY DISTRICT",795,8552101,7730392,"Stream","Activated Sludge, Chlorination, Dechlorization, Sedimentation, Anaerobic Lagoons, Aerated Lagoons","Conventional Gravity, Effluent Pumps","Project represents 25% cost-sharing with City of Coos Bay who was the responsible party for the construction.","WPCF",43.3401,-124.3301,"Activated Sludge","WR","activated sludge","lagoons",NA,NA,NA,"ndc",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,TRUE,1451.9,2016,9109761.50878446
"10","2016","DUFUR, CITY OF",604,4811000,2894755,"Stream","Stabilization Ponds","Effluent Pumps",NA,"NPDES",45.4291,-121.1468,"Lagoons","ER","lagoons",NA,1,1,0,"no",23,45,"43",85,0.06,0.06,NA,0.583885465,1053.288765,1034.44945319884,0,TRUE,1034.44945319884,2016,5124712.93530818
