"","Flow","WQFileNbr","Legal_Name","Common_Name","Location","Fac_City","Fac_Zip_Code","County","Region","Latitude","Longitude","SIC_Code","Facility_Type","Permit_Type","Permit_Description","EPA_Class","Category","Contact_Desc","Organization","Contact_FName","Contact_LName","Contact_Address","City","State","Zip","Phone_Nbr","municipality"
"1",">50 MGD",70725,"PORTLAND, CITY OF","COLUMBIA BOULEVARD STP","5001 N. COLUMBIA BLVD.","PORTLAND","97203","MULTNOMAH","NWR",45.5965,-122.7176,4952,"SEWERAGE SYSTEMS","NPDES-DOM-A1","Sewage - 50 MGD or more","MAJOR","DOM","Facility Contact","City of Portland - BES","Amanda","Haney","1120 SW 5th Ave Rm 1000","Portland","OR","97204-1912","503-823-7230","yes"
"2","25-50 MGD",90770,"CLEAN WATER SERVICES","ROCK CREEK STP","3235 SW RIVER ROAD","HILLSBORO","97123","WASHINGTON","NWR",45.4977,-122.9492,4952,"SEWERAGE SYSTEMS","NPDES-DOM-A2","Sewage - 25 MGD or more but less than 50 MGD","MAJOR","DOM","Facility Contact","Clean Water Services","Tom","Stow","3235 SW River Rd","Hillsboro","OR","97123-9223","503-547-8010","yes"
"3","25-50 MGD",55999,"METROPOLITAN WASTEWATER MANAGEMENT COMMISSION","MWMC - EUGENE/SPRINGFIELD STP","410 RIVER AVE","EUGENE","97404-2546","LANE","WR",44.0961,-123.1199,4952,"SEWERAGE SYSTEMS","NPDES-DOM-A2","Sewage - 25 MGD or more but less than 50 MGD","MAJOR","DOM","Facility Contact","Metropolitan Wastewater Mgmt Commission","Jon","Wilson","410 River Ave","Eugene","OR","97404-2546","541-682-8616","yes"
"4","25-50 MGD",78140,"SALEM, CITY OF","SALEM WILLOW LAKE STP","5915 WINDSOR ISLAND RD N","KEIZER","97303","MARION","WR",45.0097,-123.0547,4952,"SEWERAGE SYSTEMS","NPDES-DOM-A2","Sewage - 25 MGD or more but less than 50 MGD","MAJOR","DOM","Facility Contact","City of Salem","Jue","Zhao","5915 Windsor Island Rd N","Keizer","OR","97303-6179","503-588-6380","yes"
"5","10-25 MGD",90735,"CLEAN WATER SERVICES","DURHAM STP","16580 SW 85TH AVE","TIGARD","97224-5500","WASHINGTON","NWR",45.4008,-122.7619,4952,"SEWERAGE SYSTEMS","NPDES-DOM-A3","Sewage - 10 MGD or more but less than 25 MGD","MAJOR","DOM","Facility Contact","Clean Water Services","Noah","Harvey","16580 SW 85th Ave","Tigard","OR","97224-5500","503-547-8153","yes"
"6","10-25 MGD",35173,"GRESHAM, CITY OF","GRESHAM WWTP","20015 NE SANDY BLVD","PORTLAND","97230-7312","MULTNOMAH","NWR",45.5471,-122.4586,4952,"SEWERAGE SYSTEMS","NPDES-DOM-A3","Sewage - 10 MGD or more but less than 25 MGD","MAJOR","DOM","Facility Contact","City of Gresham","Alan","Johnston","1333 NW Eastman Pkwy","Gresham","OR","97030-3825","(503) 618-2431","yes"
"7","10-25 MGD",55125,"MEDFORD, CITY OF","MEDFORD RWRF","1100 KIRTLAND RD","CENTRAL POINT","97502-9439","JACKSON","WR",42.4348,-122.889,4952,"SEWERAGE SYSTEMS","NPDES-DOM-A3","Sewage - 10 MGD or more but less than 25 MGD","MAJOR","DOM","Facility Contact",NA,"Dale","Crum","1100 Kirtland Rd","Central Point","OR","97502-9439","541-774-2754","yes"
"8","10-25 MGD",16590,"Water Environment Services","WES (Kellogg Creek WWTP)","11525 SE MCLOUGHLIN BLVD","MILWAUKIE","97222","CLACKAMAS","NWR",45.4398,-122.6424,4952,"SEWERAGE SYSTEMS","NPDES-DOM-A3","Sewage - 10 MGD or more but less than 25 MGD","MAJOR","DOM","Facility Contact",NA,"Greg","Eyerly","15941 S Agnes Ave","Oregon City","OR","97045","503-742-4567","yes"
"9","10-25 MGD",89700,"Water Environment Services","WES (Tri-city WPCP)","15941 AGNES AVE","OREGON CITY","97045-1003","CLACKAMAS","NWR",45.3759,-122.5892,4952,"SEWERAGE SYSTEMS","NPDES-DOM-A3","Sewage - 10 MGD or more but less than 25 MGD","MAJOR","DOM","Facility Contact",NA,"Greg","Eyerly","15941 S Agnes Ave","Oregon City","OR","97045","503-557-2802","yes"
"10","5-10 MGD",1098,"ALBANY-MILLERSBURG WATER RECLAMATION FACILITY","AM WRF","405 Davidson ST NE","ALBANY","97321","LINN","WR",44.643,-123.0767,4952,"SEWERAGE SYSTEMS","NPDES-DOM-Ba","Sewage - 5 MGD or more but less than 10 MGD","MAJOR","DOM","Facility Contact","Albany-Millersburg Water Reclamation Fac","Scott","LaRoque","310 Waverly Dr NE","Albany","OR","97321-4746","541-791-0056","yes"
"11","5-10 MGD",90745,"CLEAN WATER SERVICES","FOREST GROVE STP","1345 SW FERN HILL RD","FOREST GROVE","97116","WASHINGTON","NWR",45.5112,-123.0907,4952,"SEWERAGE SYSTEMS","NPDES-DOM-Ba","Sewage - 5 MGD or more but less than 10 MGD","MAJOR","DOM","Facility Contact","Clean Water Services","Clarence","Baxter","3235 SW River Rd","Hillsboro","OR","97123-9223","503-547-8016","yes"
"12","5-10 MGD",90752,"CLEAN WATER SERVICES","HILLSBORO-WESTSIDE STP","770 S 1ST AVE","HILLSBORO","97133","WASHINGTON","NWR",45.5137,-122.9897,4952,"SEWERAGE SYSTEMS","NPDES-DOM-Ba","Sewage - 5 MGD or more but less than 10 MGD","MAJOR","DOM","Facility Contact","Clean Water Services","Clarence","Baxter","2550 SW Hillsboro Hwy","Hillsboro","OR","97123-9379","503-547-8016","yes"
"13","5-10 MGD",20151,"CORVALLIS, CITY OF","CORVALLIS STP","1304 N.E. SECOND STREET","CORVALLIS","97339","BENTON","WR",44.5758,-123.2552,4952,"SEWERAGE SYSTEMS","NPDES-DOM-Ba","Sewage - 5 MGD or more but less than 10 MGD","MAJOR","DOM","Facility Contact","City of Corvallis","Max","Hildebrand","PO Box 1083","Corvallis","OR","97339-1083","(541) 754-1757","yes"
"14","5-10 MGD",46763,"KLAMATH FALLS, CITY OF","KLAMATH FALLS WASTEWATER TREATMENT AND RECLAMATION FACILITY (@ SPRING STREET)","1200 S SPRING ST","KLAMATH FALLS","97601","KLAMATH","ER",42.2167,-121.775,4952,"SEWERAGE SYSTEMS","NPDES-DOM-Ba","Sewage - 5 MGD or more but less than 10 MGD","MAJOR","DOM","Facility Contact","City of Klamath Falls","Ray","Busch","1200 S Spring St","Klamath Falls","OR","97601-4282","541-883-5386","yes"
"15","5-10 MGD",106694,"MCMINNVILLE, CITY OF","MCMINNVILLE WATER RECLAMATION FACILITY","3500 NE CLEARWATER DR","MCMINNVILLE","97128","YAMHILL","WR",45.2239,-123.1583,4952,"SEWERAGE SYSTEMS","NPDES-DOM-Ba","Sewage - 5 MGD or more but less than 10 MGD","MAJOR","DOM","Facility Contact","City of McMinnville","Dave","Gehring","3500 NE Clearwater Dr","McMinnville","OR","97128-8252","(503) 434-7413","yes"
"16","5-10 MGD",68260,"PENDLETON, CITY OF","PENDLETON STP","4300 SW Houtama Rd.","PENDLETON","97801","UMATILLA","ER",45.668,-118.8619,4952,"SEWERAGE SYSTEMS","NPDES-DOM-Ba","Sewage - 5 MGD or more but less than 10 MGD","MAJOR","DOM","Facility Contact","City of Pendleton - WWTP","Mark","Milne","4255 SW 28th Dr","Pendleton","OR","97801-1721","(541) 276-3372","yes"
"17","5-10 MGD",70735,"PORTLAND, CITY OF","TRYON CREEK WWTP","195 FOOTHILLS RD","LAKE OSWEGO","97034","CLACKAMAS","NWR",45.4213,-122.6579,4952,"SEWERAGE SYSTEMS","NPDES-DOM-Ba","Sewage - 5 MGD or more but less than 10 MGD","MAJOR","DOM","Facility Contact","City of Portland - BES","Greg","Hettman","1120 SW 5th Ave Rm 1000","Portland","OR","97204-1912","503-823-2318","yes"
"18","5-10 MGD",76771,"ROSEBURG URBAN SANITARY AUTHORITY","R.U.S.A. ROSEBURG STP","3485 W GOEDECK AVE","ROSEBURG","97470-2463","DOUGLAS","WR",43.2092,-123.3959,4952,"SEWERAGE SYSTEMS","NPDES-DOM-Ba","Sewage - 5 MGD or more but less than 10 MGD","MAJOR","DOM","Facility Contact","Roseburg Urban Sanitary Authority","Randy","Turner","3485 W Goedeck Ave","Roseburg","OR","97471-2463","(541) 673-6570","yes"
"19","2-5 MGD",3780,"ASHLAND, CITY OF","ASHLAND STP","1195 Oak St.","ASHLAND","97520","JACKSON","WR",42.2136,-122.7145,4952,"SEWERAGE SYSTEMS","NPDES-DOM-C1a","Sewage - 2 MGD or more but less than 5 MGD","MAJOR","DOM","Facility Contact","City of Ashland","David","Gies","90 N Mountain Ave","Ashland","OR","97520-2014","(541) 552-2335","yes"
