"","Flow","WQFileNbr","Legal_Name","Common_Name","Location","Fac_City","Fac_Zip_Code","County","Region.x","Latitude","Longitude","SIC_Code","Facility_Type","Permit_Type","Permit_Description","EPA_Class","Category","Contact_Desc","Organization","Contact_FName","Contact_LName","Contact_Address","City","State","Zip","Phone_Nbr","municipality","5000_gal_bill","total_sewer_lines_mi","year_of_construction","year_of_renovation","total_ww_treated","level_of_treatment","Population","QCODE","Region.y","level_of_treatment_other","pop_2018","pop_2010","pop_2000","pop_1990","pop_1980","acres","HUC8","septic/rv","done","treatmentClass","collectionClass","basin","subbasin","stream","permYr","EPAref","type1","type2","recycledReuse","emergencyOverflow","recycledBiosolids","yearRoundDischarge","BOD5 monthly average lbs/day","BOD5 max lbs/day","TSS monthly average lbs/day","TSS max lbs/day","dryDesignFlowMGD","massLoadFlowMGD","note1","note2","upgrade1","upgrade1_cost","upgrade1_year","upgrade2","upgrade2_cost","upgrade2_year","upgrade3","upgrade3_cost","upgrade3_year","cap_cost","om_cost"
"1","<1 MGD with lagoons",100101,"ALPINE COUNTY SERVICE DISTRICT","ALPINE COMMUNITY","25327 ALPINE RD","MONROE","97456","BENTON","WR",44.3292,-123.3541,4952,"SEWERAGE SYSTEMS","NPDES-DOM-Db","Sewage - less than 1 MGD with discharging lagoons","MINOR","DOM","Facility Contact","Alpine County Service District","Jon","Thompkins","360 SW Avery Ave","Corvallis","OR","97333-1139","(541) 766-6821","yes","35.23_36.46","220","1955","2001","4,287 MGD","Primary, Secondary, Tertiary",59280,5,4,NA,"59,280","54,462","49,322","44,757","40,960",9141.34308947,NA,"?","y",1,"1","Willamette","Upper Willamette","Muddy Creek",2006,"OR0032387","lagoons","na",0,0,0,"no",18,36,"29","58",0.02,0.07,"unincorp. Community & census designated place",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","<1 MGD with lagoons",2772,"AMITY, CITY OF","AMITY STP","401 EAST 3RD","AMITY","97101","YAMHILL","WR",45.1223,-123.2028,4952,"SEWERAGE SYSTEMS","NPDES-DOM-Db","Sewage - less than 1 MGD with discharging lagoons","MINOR","DOM","Facility Contact","City of Amity","Matt","Johnson","PO Box 159","Amity","OR","97101-0159","(503) 835-4181","yes","57.43","","","","","Primary, Secondary, Tertiary",1655,3,3,NA,"1,655","1,614","1,478","1,175","1,092",402.796063812,NA,"no","y",2,"2","Willamette","Yamhill","Salt Creek",2010,"OR0026212","lagoons","aeration",1,3,0,"no",39,78,"64","130",0.154,0.154,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","<1 MGD with lagoons",4475,"AUMSVILLE, CITY OF","AUMSVILLE STP","BEAVER CREEK AT R.M. 2.5","AUMSVILLE","97325","MARION","WR",44.8542,-122.8748,4952,"SEWERAGE SYSTEMS","NPDES-DOM-Db","Sewage - less than 1 MGD with discharging lagoons","MINOR","DOM","Facility Contact","City Of Aumsville","Steven C","Oslie","595 Main St","Aumsville","OR","97325-9005","(503) 749-2030","yes","48.28","27.32","2005","2011","","Primary,Secondary",3975,4,3,NA,"3,975","3,584","3,003","1,650","1,432",704.248089748,NA,"no","y",1,"2","Willamette","Middle Willamette","Beaver Creek",2000,"OR0022721","lagoons","na",1,0,0,"no",170,340,"280","560",0.335,0.67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","<1 MGD with lagoons",110020,"AURORA, CITY OF","AURORA STP","HWY 99 E","AURORA","97002","MARION","WR",45.22,-122.8,4952,"SEWERAGE SYSTEMS","NPDES-DOM-Db","Sewage - less than 1 MGD with discharging lagoons","MINOR","DOM","Facility Contact","City of Aurora","Mark","Gunter","21420 Main St NE","Aurora","OR","97002-9229","5412318674","yes","","","","","","",NA,NA,NA,NA,"985","918","655","567","523",311.634828795,NA,"no","y",2,"1","Willamette","Molalla/Pudding","Pudding River",2016,"OR0043991","lagoons","aeration",1,0,1,"no",30,140,"47","220",0.087,0.087,"mass load calculated on 2 year recurrence flows & treatment capacity",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","<1 MGD with lagoons",6667,"BAY CITY, CITY OF","BAY CITY STP","NORTH END OF ELLIOTT ST","BAY CITY","97141","TILLAMOOK","NWR",45.5,-123.87,4952,"SEWERAGE SYSTEMS","NPDES-DOM-Db","Sewage - less than 1 MGD with discharging lagoons","MINOR","DOM","Facility Contact","City of Bay City","Chance","Steffey","PO Box 3309","Bay City","OR","97107-3309","(503) 377-4121","yes","43.2","","1995","","","Primary,Secondary,Advanced Treatment/ Tertiary",1350,3,1,NA,"1,350","1,286","1,149","1,027","986",1254.54044219,NA,"no","y",2,"2","Northern Oregon Coastal","Wilson/Trask/Nestucca","Tillamook Bay",2006,"OR0022578","activated sludge","sequencing batch reactor",0,0,0,"yes",44,88,"53","110",0.21,0.31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","<1 MGD with lagoons",11770,"BROWNSVILLE, CITY OF","BROWNSVILLE STP","1.4 MI NW OF CITY LIMITS ON 7 MILE LANE","BROWNSVILLE",NA,"LINN","WR",44.409,-122.9988,4952,"SEWERAGE SYSTEMS","NPDES-DOM-Db","Sewage - less than 1 MGD with discharging lagoons","MINOR","DOM","Facility Contact","City Of Brownsville","Karl","Frink","PO Box 188","Brownsville","OR","97327-0188","(541) 466-5666","yes","33.66","10.36_10.75","1964","2008_2008","","Primary, Lagoon System_____Primary",1705,3,3,NA,"1,705","1,668","1,449","1,281","1,261",856.975191463,NA,"no","y",1,"2","Willamette","Upper Willamette","Calapooia River",2007,"OR0020079","lagoons","na",1,0,0,"no",74,150,"120","240",0.147,0.294,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","<1 MGD with lagoons",14195,"CARLTON, CITY OF","CARLTON STP","1001 West Grant St.","CARLTON","97111","YAMHILL","WR",45.2935,-123.1864,4952,"SEWERAGE SYSTEMS","NPDES-DOM-Db","Sewage - less than 1 MGD with discharging lagoons","MINOR","DOM","Facility Contact","City of Carlton","Bryan","Burnham","191 E Main St","Carlton","OR","97111-9107","503-434-2175","yes","52.86","7.36","1989","1996","115","Secondary",NA,NA,NA,NA,"2,270","2,007","1,514","1,289","1,302",566.695477715,NA,"no","y",2,"2","Willamette","Yamhill","North Yamhill River",2005,"OR0020541","lagoons","na",1,0,0,"no",92,184,"153","306",0.165,0.367,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","<1 MGD with lagoons",20927,"CRESWELL, CITY OF","CRESWELL STP","WEST OF MEADOW LANE","CRESWELL","97426","LANE","WR",43.9228,-123.0371,4952,"SEWERAGE SYSTEMS","NPDES-DOM-Db","Sewage - less than 1 MGD with discharging lagoons","MINOR","DOM","Facility Contact","City of Creswell","Michelle","Amberg","PO Box 276","Creswell","OR","97426-0276","(541) 895-2308","yes","51.29_54.12","22_23","1963_1962","2007_2006","312.41000000000003_250.89 MGD","Primary_____Primary",5455,4,4,NA,"5,455","5,031","3,579","2,431","1,770",1103.79385572,NA,"no","y",2,"2","Willamette","Coast Fork Willamette","Unnamed Tributary to Camas Swale Creek",2015,"OR0027545","lagoons","na",1,0,0,"no",100,200,"170","330",0.2,0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","<1 MGD with lagoons",23458,"DAYTON, CITY OF","DAYTON STP","416 FERRY STREET","DAYTON","97114","YAMHILL","WR",45.1899,-123.07,4952,"SEWERAGE SYSTEMS","NPDES-DOM-Db","Sewage - less than 1 MGD with discharging lagoons","MINOR","DOM","Facility Contact","City of Dayton","Steve","Sagmiller","PO Box 339","Dayton","OR","97114-0339","(503) 437-0639","yes","38","","1965","1965","","Primary, Secondary",NA,NA,NA,NA,"2,720","2,534","2,119","1,526","1,409",532.007554867,NA,"no","y",1,"2","Willamette","Yamhill","Yamhill River",2005,"OR0023639","lagoons","na",0,1,0,"no",120,240,"190","380",0.23,0.46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","<1 MGD with lagoons",23560,"DAYVILLE, CITY OF","CITY OF DAYVILLE","45473 HWY 26","DAYVILLE","97825","GRANT","ER",44.46,-119.53,4952,"SEWERAGE SYSTEMS","NPDES-DOM-Db","Sewage - less than 1 MGD with discharging lagoons","MINOR","DOM","Facility Contact","City Of Dayville","Linda","Sagaser","PO Box 321","Dayville","OR","97825-0321","541-987-2849","yes","40","","","","","",155,1,12,NA,"155","149","138","144","199",307.511540362,NA,"no","y",1,"1","John Day","Upper John Day","John Day River",2007,"OR0041505","lagoons","na",1,2,0,"no",9,18,"26","52",0.037,0.037,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
